"ResponseId"	"UserLanguage"	"Age"	"Sex"	"subjectLighting"	"rating"
"151"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"I1"	4
"152"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"I2"	4
"153"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"I3"	5
"154"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"I4"	5
"155"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"I5"	5
"156"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"I6"	2
"157"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"J1"	7
"158"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"J2"	7
"159"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"J3"	8
"160"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"J4"	7
"161"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"J5"	7
"162"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"J6"	6
"163"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"K1"	6
"164"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"K2"	6
"165"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"K3"	6
"166"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"K4"	6
"167"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"K5"	5
"168"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"K6"	6
"169"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"N1"	6
"170"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"N2"	6
"171"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"N3"	7
"172"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"N4"	6
"173"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"N5"	7
"174"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"N6"	6
"175"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"O1"	5
"176"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"O2"	6
"177"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"O3"	4
"178"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"O4"	4
"179"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"O5"	4
"180"	"R_3mjH4mWb8yz5oci"	"EN"	"34"	"Male"	"O6"	4
"181"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"A1"	5
"182"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"A2"	5
"183"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"A3"	5
"184"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"A4"	5
"185"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"A5"	5
"186"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"A6"	5
"187"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"B1"	5
"188"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"B2"	7
"189"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"B3"	7
"190"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"B4"	6
"191"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"B5"	6
"192"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"B6"	7
"193"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"D1"	8
"194"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"D2"	7
"195"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"D3"	7
"196"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"D4"	6
"197"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"D5"	7
"198"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"D6"	7
"199"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"G1"	4
"200"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"G2"	8
"201"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"G3"	7
"202"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"G4"	8
"203"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"G5"	7
"204"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"G6"	6
"205"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"H1"	6
"206"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"H2"	6
"207"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"H3"	8
"208"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"H4"	6
"209"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"H5"	6
"210"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"H6"	5
"211"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"I1"	6
"212"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"I2"	7
"213"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"I3"	8
"214"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"I4"	7
"215"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"I5"	7
"216"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"I6"	8
"217"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"J1"	8
"218"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"J2"	10
"219"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"J3"	10
"220"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"J4"	10
"221"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"J5"	10
"222"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"J6"	9
"223"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"K1"	6
"224"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"K2"	5
"225"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"K3"	7
"226"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"K4"	6
"227"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"K5"	5
"228"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"K6"	3
"229"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"N1"	8
"230"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"N2"	8
"231"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"N3"	9
"232"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"N4"	10
"233"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"N5"	10
"234"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"N6"	9
"235"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"O1"	5
"236"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"O2"	7
"237"	"R_1lsGctLd8WM6U9W"	"EN"	"33"	"Male"	"O3"	5
